platform,water_depth,weight,installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure,distance_to_coast,risk_to_other_users-complete ,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete,energy_consumption-partial,emissions-complete,emissions-partial,impacts_of_option-complete,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-partial
1.0,99.0,22000.0,1988.0,1.0,8.0,8.0,114.0,187.0,1.0,0.29,0.12,1110100.0,817000.0,87000.0,58500.0,0.43,0.0,1.0,0.79,0.78,0.5,0.5,0.56
2.0,112.0,30364.0,1983.0,1.0,8.0,9.0,123.0,207.0,1.0,0.32,0.16,1180500.0,895500.0,92000.0,64000.0,0.51,0.0,1.0,0.79,0.78,0.5,0.5,0.56
20.0,141.0,15561.0,1978.0,2.0,8.0,26.0,147.0,120.0,0.0,0.025,0.01,297654.0,530148.0,24277.0,31064.0,0.66,0.25,1.0,1.0,0.94,1.0,1.0,0.54
25.0,156.0,27647.0,1980.0,2.0,8.0,32.0,166.0,240.0,0.0,0.04,0.02,487750.0,570818.0,40416.0,45266.0,0.53,0.64,1.0,1.0,0.66,1.0,1.0,0.57
26.0,103.0,18584.0,1983.0,3.0,8.0,20.0,122.5,230.0,0.0,0.09,0.06,733082.0,511765.0,59588.0,41170.0,0.53,0.39,0.15,1.0,0.99,1.0,1.0,0.73
27.0,144.0,17500.0,1983.0,3.0,8.0,20.0,154.0,130.0,0.0,0.14,0.13,520000.0,568000.0,42000.0,44000.0,0.53,0.45,0.7,1.0,1.0,1.0,1.0,0.66
29.0,116.0,10054.0,1993.0,1.0,4.0,5.0,136.0,282.0,1.0,0.14,0.08,469823.0,433179.0,37162.0,32191.0,0.53,0.29,0.81,0.93,0.86,0.83,0.83,0.6
0.0,101.0,22000.0,1987.0,2.0,6.0,6.0,112.0,185.0,3.0,0.2786975804469997,0.1896290846666998,1110100.0,817002.0,87002.0,58502.0,0.5483237980525448,2.0,2.0,1.0146730242159854,0.6162159087295058,0.45287604786603797,0.41948532233686076,0.5443886413635034
4.0,113.0,30362.0,1982.0,1.0,10.0,11.0,125.0,209.0,3.0,0.23676338401825514,-0.22835923670077882,1180501.0,895498.0,91999.0,64000.0,0.5164911557274051,0.0,0.0,0.7818083996358569,0.8813926641689607,0.5396132588684621,0.7770755258436417,0.7244905875349411
20.0,139.0,15563.0,1977.0,1.0,7.0,27.0,147.0,121.0,0.0,0.0164968746540291,0.07145417533437785,297655.0,530150.0,24278.0,31064.0,0.6710337147011131,-0.06858456403029639,1.0,1.0,0.7689830276605527,1.0,2.0,0.2771472793569858
25.0,157.0,27648.0,1978.0,1.0,6.0,30.0,165.0,238.0,2.0,0.2571365120153412,0.3144656981657424,487752.0,570819.0,40414.0,45264.0,0.5656950143867292,0.35642966060787057,1.0,2.0,0.7739348496441276,3.0,2.0,0.46493792332061956
28.0,103.0,18585.0,1982.0,1.0,8.0,21.0,122.98803467653491,231.0,2.0,0.1683283940083638,-0.12996548317798617,733081.0,511767.0,59589.0,41171.0,0.384042967722915,0.32955089344895716,0.49181333399716176,1.0,0.5441489106205835,3.0,1.0,0.844319478668389
25.0,146.0,17501.0,1983.0,4.0,7.0,21.0,154.0,130.0,0.0,-0.020900237810442618,0.22574817872388056,520001.0,567999.0,42001.0,44001.0,0.7666546427142134,0.37134118798684446,0.7298864176527167,1.0,0.0,2.0,0.0,0.8741451860914121
31.0,117.0,10054.0,1991.0,1.0,2.0,7.0,134.0,281.0,0.0,0.1700300826957169,-0.2100172195928851,469821.0,433178.0,37163.0,32193.0,0.6713440966647886,0.4737182895869899,0.7300395133664785,0.6692652817606861,0.9225239069765512,0.5653669501614897,1.1769780555699532,0.7526373269690529
1.0,98.0,22002.0,1990.0,1.0,9.0,6.0,114.0,189.0,0.0,0.8518509936427088,-0.030876529389589596,1110099.0,817001.0,87002.0,58499.0,0.2342525356176292,2.0,0.0,0.48960219831983715,0.7150911629664651,0.450130537862583,0.7465602477870302,0.3991280927784605
2.0,113.0,30366.0,1982.0,0.0,6.0,7.0,122.0,205.0,0.0,0.17089902260824694,0.363302052680874,1180502.0,895501.0,91998.0,63999.0,1.07516381885383,1.0,0.0,1.1752076755685452,0.40326080808642656,0.16872899511813844,0.5919195649602839,0.6165883884794984
18.0,141.0,15563.0,1976.0,4.0,7.0,28.0,149.0,122.0,0.0,-0.1833014028409486,-0.3185067352608373,297654.0,530146.0,24278.0,31064.0,0.559560318908126,-0.014721091333731173,3.0,1.0,1.0209349438459945,0.0,1.0,0.5411203153986591
25.0,157.0,27645.0,1981.0,1.0,7.0,31.0,167.0,239.0,0.0,0.1275142367703172,0.013863833466422804,487748.0,570819.0,40416.0,45266.0,0.488369594080339,0.8712175704373691,2.0,2.0,0.6112642134811308,2.0,1.0,0.8095794990287264
27.0,105.0,18584.0,1983.0,4.0,9.0,18.0,122.17599701372902,229.0,0.0,-0.02928701004832976,0.13574661689998563,733083.0,511763.0,59589.0,41168.0,0.4709118244815912,0.2652612903214502,-0.14070684022478583,0.0,1.0403857924671096,0.0,3.0,0.45306444324702394
29.0,142.0,17502.0,1981.0,5.0,7.0,19.0,155.0,130.0,1.0,0.07488409956320416,0.048313747892759246,519999.0,567998.0,42002.0,44000.0,0.46493723045039825,0.34611745294322666,0.6241804610540291,3.0,3.0,0.0,0.0,1.1403930554738784
27.0,114.0,10056.0,1994.0,1.0,6.0,5.0,137.0,280.0,2.0,0.361047235202025,-0.18464455953075565,469824.0,433181.0,37161.0,32191.0,0.769756630784894,0.3159379876790714,0.8367755314773895,0.9154062043791432,0.7246011823564564,0.7219110969607877,1.0961689987165157,0.652334491130035
3.0,98.0,22000.0,1986.0,0.0,6.0,7.0,116.0,189.0,2.0,0.4184970539547791,-0.5378863191727307,1110102.0,817001.0,87000.0,58500.0,0.1978153901746799,0.0,2.0,1.0722542289496528,0.7281129789608117,0.5009033640740012,0.5306576807650802,0.603583258564488
0.0,113.0,30363.0,1984.0,2.0,7.0,7.0,121.0,209.0,1.0,0.2005544528571594,0.22356375153033947,1180502.0,895502.0,92000.0,63998.0,-0.10003765320936098,1.0,1.0,0.5914178387630291,0.787809819241512,0.20414329926764552,0.3499047118961071,0.681764491072801
22.0,140.0,15562.0,1978.0,4.0,10.0,24.0,147.0,118.0,0.0,-0.01046514540531275,-0.41172150819783737,297654.0,530148.0,24277.0,31064.0,0.1515563364360345,0.07143040918141275,3.0,0.0,0.8248308320395974,0.0,3.0,1.120976276296127
26.0,156.0,27648.0,1981.0,0.0,10.0,32.0,166.0,240.0,0.0,0.5072059506400967,0.2470133692179481,487751.0,570819.0,40416.0,45267.0,0.401498137459551,0.7546511523001183,3.0,3.0,0.6057000165725904,2.0,0.0,0.1354458297145723
