water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
155,26935,45,3,8,31,165.607,173,0,2.29814310669899e-05,0.025,0.011,310096,534369,27504,38107,1.0,1,0.5,1.0,0.999,0.888,0.994,0.997,0.919,0.576
155,24296,44,1,8,20,165.865,281,0,1.1235159307718276e-05,0.025,0.01,305383,454254,29558,32816,0.999,1,0.442,1.0,1.0,0.888,0.987,0.995,1.0,0.413
99,19332,32,1,8,5,114.07,281,1,0.0,0.315,0.094,1083945,842769,90322,61684,0.0,1,0.0,1.0,0.997,0.938,0.556,0.627,1.0,0.411
144,17011,45,1,8,6,152.023,120,1,1.115918159484863e-09,0.319,0.16,1080523,854984,88686,63336,0.0,0,0.0,1.0,0.005,0.024,0.059,0.061,0.622,0.765
99,23190,42,1,8,5,114.013,275,1,0.0,0.32,0.157,1169538,888446,90663,63579,0.0,1,0.0,1.0,0.851,0.93,0.684,0.258,1.0,0.666
155,11632,44,1,4,6,165.961,197,0,1.8735898494720454e-05,0.027,0.036,301081,446441,24884,31412,0.14,1,0.002,1.0,0.999,0.924,0.953,0.985,0.715,0.435
122,10115,37,3,8,18,163.729,120,0,5.933536320924759e-06,0.134,0.159,336855,451159,24780,32013,0.0,0,0.494,0.483,0.0,0.001,0.003,0.002,0.532,0.996
99,22638,33,1,8,5,114.003,281,1,0.0,0.32,0.154,1174840,893625,91865,63874,0.0,1,0.0,1.0,1.0,0.94,0.726,0.516,1.0,0.412
108,17933,34,1,8,5,120.51,281,1,3.153085708618164e-11,0.27,0.108,1006280,727197,85549,56765,0.0,1,0.0,1.0,0.967,0.859,0.368,0.604,1.0,0.414
119,10982,32,1,4,6,155.862,229,0,2.4775713682174684e-08,0.05,0.134,344291,436933,26174,31440,0.0,1,0.381,0.521,0.034,0.016,0.136,0.08,0.989,0.593
105,12185,32,1,4,10,125.815,238,0,1.3576090335845949e-08,0.076,0.077,621899,467131,43363,33306,0.0,1,0.141,0.33,0.049,0.056,0.116,0.083,0.997,0.848
154,27549,45,2,8,31,164.257,273,0,5.133022010326385e-06,0.028,0.013,449497,629250,55925,58674,0.995,1,0.5,0.983,0.976,0.187,0.939,0.963,0.999,0.414
102,11314,31,1,4,5,121.551,281,1,2.5773048400878905e-10,0.068,0.034,577997,464230,40138,33078,0.0,1,0.0,0.999,0.972,0.883,0.322,0.394,1.0,0.427
99,10337,31,1,4,5,115.029,281,1,0.0,0.248,0.079,350495,445567,30822,31545,0.0,1,0.0,1.0,0.999,0.938,0.737,0.515,1.0,0.413
99,13315,31,1,8,5,115.384,281,1,2.7418136596679688e-12,0.122,0.025,875248,514721,66598,39024,0.0,1,0.0,1.0,0.971,0.921,0.354,0.351,1.0,0.428
99,19923,31,1,8,31,114.099,278,0,2.2140145301818847e-10,0.028,0.015,1084307,468433,72823,35473,0.0,1,0.5,0.15,0.0,0.001,0.013,0.01,1.0,0.97
153,25433,45,3,8,29,160.766,125,0,1.562918782234192e-05,0.121,0.089,621916,712471,56133,57360,0.215,1,0.49,0.992,0.637,0.249,0.655,0.748,0.722,0.583
155,14261,45,3,8,30,164.812,120,0,2.2998860776424408e-05,0.03,0.067,313928,599415,25030,33067,0.625,1,0.482,1.0,0.941,0.881,0.946,0.948,0.53,0.994
99,19385,31,1,8,14,114.002,281,0,0.0,0.201,0.026,1101826,517614,80544,38192,0.0,1,0.022,0.151,0.001,0.005,0.131,0.005,1.0,0.979
103,27101,31,1,8,31,122.111,254,0,3.015995025634766e-11,0.043,0.056,1072444,555209,82833,60300,0.0,1,0.5,0.15,0.0,0.0,0.006,0.004,1.0,0.428
118,13374,44,1,8,23,118.787,124,0,2.142928349971771e-05,0.033,0.016,745215,608110,45340,32608,0.433,1,0.022,0.998,0.937,0.919,0.804,0.85,0.57,0.993
135,16865,45,1,8,5,121.74,122,1,1.7136335372924804e-11,0.32,0.16,1120563,882316,88154,63611,0.0,0,0.0,1.0,0.117,0.551,0.174,0.312,0.954,0.557
119,20746,39,3,8,31,160.077,120,0,1.005573868751526e-07,0.057,0.159,476041,501959,31408,50895,0.0,0,0.5,0.156,0.0,0.0,0.001,0.0,0.701,0.874
109,10154,42,1,8,20,123.716,120,0,2.2993410050868987e-05,0.025,0.01,335202,446101,24703,31076,0.502,1,0.011,1.0,0.991,0.937,0.89,0.848,0.531,1.0
155,27249,45,2,8,31,165.62,200,0,2.2999906778335573e-05,0.025,0.01,299037,486268,24854,31405,1.0,1,0.499,1.0,1.0,0.94,1.0,1.0,0.935,0.839
99,20465,36,1,8,24,115.084,158,0,3.975629806518554e-11,0.294,0.138,1121141,741549,86859,54281,0.0,1,0.322,0.16,0.001,0.006,0.074,0.028,0.999,0.971
131,22812,45,1,8,31,125.049,123,0,2.299977380037308e-05,0.025,0.01,305000,492216,24582,31096,1.0,1,0.5,1.0,1.0,0.94,1.0,0.999,0.645,1.0
99,19588,31,1,8,5,114.311,282,1,0.0,0.302,0.102,1143944,763097,90241,61958,0.0,1,0.0,1.0,1.0,0.939,0.531,0.681,1.0,0.41
120,15564,40,3,8,31,121.951,120,0,2.2699132561683654e-07,0.162,0.145,778745,544368,35585,37995,0.0,0,0.5,0.18,0.0,0.001,0.009,0.005,0.591,0.996
117,13042,36,1,4,5,140.859,266,1,1.3709068298339844e-12,0.316,0.16,583621,641248,59565,49218,0.0,1,0.0,1.0,0.751,0.661,0.559,0.247,1.0,0.435
108,16182,31,1,8,7,122.273,281,1,1.5011429786682128e-10,0.033,0.012,703120,477802,62592,35073,0.005,1,0.001,0.999,0.995,0.854,0.478,0.843,1.0,0.413
155,27431,45,2,8,31,149.557,120,0,2.299999725818634e-05,0.025,0.01,298876,581390,24427,31149,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.657,1.0
154,26800,44,3,8,31,165.018,139,0,4.044195711612702e-07,0.059,0.132,555232,568428,48645,61147,0.008,0,0.5,0.657,0.013,0.001,0.1,0.148,0.96,0.421
155,27525,42,1,8,31,164.665,281,0,3.790214657783509e-07,0.025,0.01,435963,499400,68840,49492,1.0,1,0.5,0.999,1.0,0.541,0.981,0.998,1.0,0.41
99,12637,31,1,8,15,117.5,277,0,7.640063762664794e-09,0.04,0.026,754950,466137,47811,33945,0.001,1,0.377,0.23,0.086,0.075,0.134,0.08,1.0,0.833
155,27292,45,3,8,31,165.89,240,0,2.2756044387817383e-05,0.028,0.012,349932,652869,40741,53678,1.0,1,0.497,1.0,1.0,0.902,0.994,0.998,0.978,0.424
155,27126,45,2,8,31,161.438,137,0,2.299752140045166e-05,0.025,0.01,320799,594946,29117,33449,1.0,1,0.5,1.0,1.0,0.939,1.0,1.0,0.906,0.939
99,24268,41,1,8,5,114.072,278,1,6.854534149169922e-13,0.32,0.159,1175398,893448,91839,63926,0.0,1,0.0,1.0,0.995,0.939,0.574,0.415,1.0,0.467
155,27563,45,3,8,31,165.853,266,0,2.297795581817627e-05,0.025,0.01,301619,505005,26109,37760,1.0,1,0.5,1.0,1.0,0.921,1.0,1.0,0.998,0.425
141,21227,37,3,8,27,163.371,205,0,1.072213649749756e-07,0.042,0.13,412435,448006,35027,44099,0.001,0,0.5,0.463,0.007,0.001,0.036,0.038,0.994,0.467
99,14009,31,1,8,5,114.543,281,1,0.0,0.173,0.043,918328,505528,57255,38458,0.0,1,0.0,0.987,0.772,0.746,0.406,0.213,1.0,0.43
106,10656,31,1,4,5,135.16,188,1,2.6960253715515137e-08,0.161,0.127,397714,450531,28943,31850,0.0,1,0.001,0.948,0.214,0.234,0.224,0.056,0.964,0.849
116,10152,33,1,4,6,160.798,188,0,4.4251981377601625e-07,0.033,0.128,306452,435304,24568,31111,0.0,1,0.161,0.872,0.148,0.078,0.192,0.118,0.897,0.803
99,25583,33,1,8,31,117.092,280,0,2.3838698863983157e-08,0.027,0.012,749917,484156,56905,38058,0.069,1,0.5,0.153,0.051,0.012,0.295,0.281,1.0,0.831
100,10108,31,1,4,5,129.851,281,1,0.0,0.147,0.099,302730,434560,24483,31090,0.0,1,0.0,1.0,0.994,0.934,0.779,0.549,1.0,0.415
117,14791,33,1,8,5,121.818,280,1,7.231533527374266e-10,0.284,0.111,894064,707959,82685,48695,0.0,1,0.0,0.999,0.883,0.832,0.437,0.433,1.0,0.478
153,10514,45,3,8,25,160.842,120,0,2.299266290664673e-05,0.038,0.104,386238,532800,26923,32004,0.007,1,0.087,1.0,0.498,0.716,0.544,0.516,0.53,0.998
99,24867,31,1,8,27,114.393,277,0,3.5780668258666985e-10,0.129,0.03,1132260,676944,88123,57263,0.0,1,0.492,0.155,0.007,0.008,0.095,0.048,1.0,0.668
99,11942,38,1,4,5,114.863,267,1,0.0,0.32,0.16,792259,738726,70728,47505,0.0,1,0.0,1.0,0.453,0.822,0.696,0.259,1.0,0.787
100,14627,31,1,8,19,145.193,268,0,1.0254383087158203e-09,0.027,0.114,415482,436727,30312,32267,0.0,1,0.5,0.152,0.001,0.0,0.007,0.005,1.0,0.67
